w	EQE	w	EQE
	PBDB-T:F-M 190nm		PBDB-TF-T1:BTP-4F-12 180nm
901	0	901	24.09156
902	0	902	23.45004
903	0	903	22.80852
904	0	904	22.167
905	0	905	21.52548
906	0	906	20.88396
907	0	907	20.24244
908	0	908	19.60092
909	0	909	18.9594
910	0	910	18.31788
911	0	911	17.786196
912	0	912	17.254512
913	0	913	16.722828
914	0	914	16.191144
915	0	915	15.65946
916	0	916	15.127776
917	0	917	14.596092
918	0	918	14.064408
919	0	919	13.532724
920	0	920	13.00104
921	0	921	12.5685756
922	0	922	12.1361112
923	0	923	11.7036468
924	0	924	11.2711824
925	0	925	10.838718
926	0	926	10.4062536
927	0	927	9.9737892
928	0	928	9.5413248
929	0	929	9.1088604
930	0	930	8.676396
931	0	931	8.3594916
932	0	932	8.0425872
933	0	933	7.7256828
934	0	934	7.4087784
935	0	935	7.091874
936	0	936	6.7749696
937	0	937	6.4580652
938	0	938	6.1411608
939	0	939	5.8242564
940	0	940	5.507352
941	0	941	5.2966656
942	0	942	5.0859792
943	0	943	4.8752928
944	0	944	4.6646064
945	0	945	4.45392
946	0	946	4.2432336
947	0	947	4.0325472
948	0	948	3.8218608
949	0	949	3.6111744
950	0	950	3.400488
951	0	951	3.2674536
952	0	952	3.1344192
953	0	953	3.0013848
954	0	954	2.8683504
955	0	955	2.735316
956	0	956	2.6022816
957	0	957	2.4692472
958	0	958	2.3362128
959	0	959	2.2031784
960	0	960	2.070144
961	0	961	1.992168
962	0	962	1.914192
963	0	963	1.836216
964	0	964	1.75824
965	0	965	1.680264
966	0	966	1.602288
967	0	967	1.524312
968	0	968	1.446336
969	0	969	1.36836
970	0	970	1.290384
971	0	971	1.2502836
972	0	972	1.2101832
973	0	973	1.1700828
974	0	974	1.1299824
975	0	975	1.089882
976	0	976	1.0497816
977	0	977	1.0096812
978	0	978	0.9695808
979	0	979	0.9294804
980	0	980	0.88938
981	0	981	0.85887
982	0	982	0.82836
983	0	983	0.79785
984	0	984	0.76734
985	0	985	0.73683
986	0	986	0.70632
987	0	987	0.67581
988	0	988	0.6453
989	0	989	0.61479
990	0	990	0.58428
991	0	991	0.57159756
992	0	992	0.55891512
993	0	993	0.54623268
994	0	994	0.53355024
995	0	995	0.5208678
996	0	996	0.50818536
997	0	997	0.49550292
998	0	998	0.48282048
999	0	999	0.47013804
1000	0	1000	0.4574556
1001	0	1001	0
1002	0	1002	0
1003	0	1003	0
1004	0	1004	0
1005	0	1005	0
1006	0	1006	0
1007	0	1007	0
1008	0	1008	0
1009	0	1009	0
1010	0	1010	0
1011	0	1011	0
1012	0	1012	0
1013	0	1013	0
1014	0	1014	0
1015	0	1015	0
1016	0	1016	0
1017	0	1017	0
1018	0	1018	0
1019	0	1019	0
1020	0	1020	0
1021	0	1021	0
1022	0	1022	0
1023	0	1023	0
1024	0	1024	0
1025	0	1025	0
1026	0	1026	0
1027	0	1027	0
1028	0	1028	0
1029	0	1029	0
1030	0	1030	0
1031	0	1031	0
1032	0	1032	0
1033	0	1033	0
1034	0	1034	0
1035	0	1035	0
1036	0	1036	0
1037	0	1037	0
1038	0	1038	0
1039	0	1039	0
1040	0	1040	0
1041	0	1041	0
1042	0	1042	0
1043	0	1043	0
1044	0	1044	0
1045	0	1045	0
1046	0	1046	0
1047	0	1047	0
1048	0	1048	0
1049	0	1049	0
1050	0	1050	0
1051	0	1051	0
1052	0	1052	0
1053	0	1053	0
1054	0	1054	0
1055	0	1055	0
1056	0	1056	0
1057	0	1057	0
1058	0	1058	0
1059	0	1059	0
1060	0	1060	0
1061	0	1061	0
1062	0	1062	0
1063	0	1063	0
1064	0	1064	0
1065	0	1065	0
1066	0	1066	0
1067	0	1067	0
1068	0	1068	0
1069	0	1069	0
1070	0	1070	0
1071	0	1071	0
1072	0	1072	0
1073	0	1073	0
1074	0	1074	0
1075	0	1075	0
1076	0	1076	0
1077	0	1077	0
1078	0	1078	0
1079	0	1079	0
1080	0	1080	0
1081	0	1081	0
1082	0	1082	0
1083	0	1083	0
1084	0	1084	0
1085	0	1085	0
1086	0	1086	0
1087	0	1087	0
1088	0	1088	0
1089	0	1089	0
1090	0	1090	0
1091	0	1091	0
1092	0	1092	0
1093	0	1093	0
1094	0	1094	0
1095	0	1095	0
1096	0	1096	0
1097	0	1097	0
1098	0	1098	0
1099	0	1099	0
1100	0	1100	0
1101	0	1101	0
1102	0	1102	0
1103	0	1103	0
1104	0	1104	0
1105	0	1105	0
1106	0	1106	0
1107	0	1107	0
1108	0	1108	0
1109	0	1109	0
1110	0	1110	0
1111	0	1111	0
