wavelength,Quantum efficiency,normalized QE,inflection point
nm,[%],[ ],nm
PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm
543,73.359756,0.992340394448503,712.6
544,73.440648,0.993434623813002,712.6
545,73.52154,0.994528853177502,712.6
546,73.602432,0.995623082542001,712.6
547,73.683324,0.996717311906501,712.6
548,73.764216,0.997811541271001,712.6
549,73.845108,0.9989057706355,712.6
550,73.926,1,712.6
551,73.924812,0.999983929875822,712.6
552,73.923624,0.999967859751643,712.6
553,73.922436,0.999951789627465,712.6
554,73.921248,0.999935719503287,712.6
555,73.92006,0.999919649379109,712.6
556,73.918872,0.99990357925493,712.6
557,73.917684,0.999887509130752,712.6
558,73.916496,0.999871439006574,712.6
559,73.915308,0.999855368882396,712.6
560,73.91412,0.999839298758218,712.6
561,73.81152,0.99845142439737,712.6
562,73.70892,0.997063550036523,712.6
563,73.60632,0.995675675675675,712.6
564,73.50372,0.994287801314828,712.6
565,73.40112,0.992899926953981,712.6
566,73.29852,0.991512052593134,712.6
567,73.19592,0.990124178232286,712.6
568,73.09332,0.988736303871439,712.6
569,72.99072,0.987348429510592,712.6
570,72.88812,0.985960555149744,712.6
571,72.717912,0.983658144631118,712.6
572,72.547704,0.981355734112491,712.6
573,72.377496,0.979053323593864,712.6
574,72.207288,0.976750913075237,712.6
575,72.03708,0.974448502556611,712.6
576,71.866872,0.972146092037984,712.6
577,71.696664,0.969843681519357,712.6
578,71.526456,0.96754127100073,712.6
579,71.356248,0.965238860482104,712.6
580,71.18604,0.962936449963477,712.6
581,71.057088,0.961192111029949,712.6
582,70.928136,0.959447772096421,712.6
583,70.799184,0.957703433162893,712.6
584,70.670232,0.955959094229364,712.6
585,70.54128,0.954214755295836,712.6
586,70.412328,0.952470416362308,712.6
587,70.283376,0.95072607742878,712.6
588,70.154424,0.948981738495252,712.6
589,70.025472,0.947237399561724,712.6
590,69.89652,0.945493060628196,712.6
591,69.791112,0.944067202337473,712.6
592,69.685704,0.942641344046749,712.6
593,69.580296,0.941215485756026,712.6
594,69.474888,0.939789627465303,712.6
595,69.36948,0.93836376917458,712.6
596,69.264072,0.936937910883857,712.6
597,69.158664,0.935512052593134,712.6
598,69.053256,0.934086194302411,712.6
599,68.947848,0.932660336011687,712.6
600,68.84244,0.931234477720964,712.6
601,68.702796,0.929345507669832,712.6
